date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:46	14360574/14360574	---M--	200	added ('OK')	video/mp4	etag:%225b41c13b-db1ffe%22	https://vanholtz.co/video/work/zervice/zervice.mp4	C:/My%20Web%20Sites/Test/vanholtz.co/video/work/zervice/zervice.mp4	(from https://vanholtz.co/work/zervice/)
16:04:47	38852/38852	---M--	200	added ('OK')	application/font-woff2	etag:%22c5092d50782bd05a5530355d2cd08a640e91dcff%22	https://use.typekit.net/af/9d033e/000000000000000000013633/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/My%20Web%20Sites/Test/use.typekit.net/af/9d033e/000000000000000000013633/27/le003	(from https://use.typekit.net/duo3tdm.css)
16:04:47	116195/116195	---M--	200	added ('OK')	image/jpeg	etag:%225b41c13b-1c5e3%22	https://vanholtz.co/img/work/zervice/mobile-start-about-train.jpg	C:/My%20Web%20Sites/Test/vanholtz.co/img/work/zervice/mobile-start-about-train.jpg	(from https://vanholtz.co/work/zervice/)
16:04:47	47356/47356	---M--	200	added ('OK')	application/font-woff	etag:%22c5092d50782bd05a5530355d2cd08a640e91dcff%22	https://use.typekit.net/af/9d033e/000000000000000000013633/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/My%20Web%20Sites/Test/use.typekit.net/af/9d033e/000000000000000000013633/27/de003	(from https://use.typekit.net/duo3tdm.css)
16:04:48	99272/99272	---M-Z	200	added ('OK')	font/opentype	etag:W/%22c5092d50782bd05a5530355d2cd08a640e91dcff%22	https://use.typekit.net/af/9d033e/000000000000000000013633/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/My%20Web%20Sites/Test/use.typekit.net/af/9d033e/000000000000000000013633/27/ae003	(from https://use.typekit.net/duo3tdm.css)
16:04:48	46556/46556	---M--	200	added ('OK')	application/font-woff2	etag:%22592befb19e5018bfef79b540decbb2ad1b190e1d%22	https://use.typekit.net/af/5556ca/000000000000000000013635/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Test/use.typekit.net/af/5556ca/000000000000000000013635/27/le196	(from https://use.typekit.net/duo3tdm.css)
16:04:48	57120/57120	---M--	200	added ('OK')	application/font-woff	etag:%22592befb19e5018bfef79b540decbb2ad1b190e1d%22	https://use.typekit.net/af/5556ca/000000000000000000013635/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Test/use.typekit.net/af/5556ca/000000000000000000013635/27/de196	(from https://use.typekit.net/duo3tdm.css)
16:04:48	121424/121424	---M-Z	200	added ('OK')	font/opentype	etag:W/%22592befb19e5018bfef79b540decbb2ad1b190e1d%22	https://use.typekit.net/af/5556ca/000000000000000000013635/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Test/use.typekit.net/af/5556ca/000000000000000000013635/27/ae196	(from https://use.typekit.net/duo3tdm.css)
16:04:49	415299/415299	---M--	200	added ('OK')	image/jpeg	etag:%225c653c37-65643%22	https://vanholtz.co/img/journal/collaboration/collaboration.jpg	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/collaboration/collaboration.jpg	(from https://vanholtz.co/journal/collaboration/)
16:04:49	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2009:04:48%20GMT	https://vanholtz.co/journal/fonts/DrukWide-Medium-Web.eot	C:/My%20Web%20Sites/Test/vanholtz.co/journal/fonts/DrukWide-Medium-Web.eot	(from https://vanholtz.co/journal/collaboration/)
